videoid,contentUrl,duration,page_dir,name,dynamic_confidence,dynamic_wording,dynamic_source_category
32,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M41S,0-1000,Driving by some residental blocks in Malabar,90.0,Driving in country side some incoming traffic,nature
33,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M6S,0-1000,Driving by a pedestrian crossing in Malabar,90.0,Driving by a pedestrian crossing,nature
34,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H000M32S,0-1000,Driving by large residental buildings overcast weather in Malabar,90.0,Driving by large residental buildings,nature
35,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H04M0S,0-1000,Driving by palmtrees in a residental area with overcast sky in Malabar,90.0, Driving by palmtrees in a residental areas, nature
36,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H02M47S,0-1000,Driving by a tower under overcast sky in Malabar,90.0,Driving in country side some incoming traffic, nature
37,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H04M47S,0-1000,Cruising in the suburbs in Malabar,90.0,Cruising inthe suburbs in Malabar, nature
38,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H002M24S,0-1000,Riding around Malabar,90.0,Driving by residental multifloor buildings,nature
39,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H07M23S,0-1000,Going under palm tree in cloudy Malabar,90.0, Driving under palm tree in cloudy Malabar, nature
40,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H01M53S,0-1000,Driving a tree lined neigbourhood in harsh light in Malabar,90.0,Driving a tree lined neigbourhood in harsh light,nature
41,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H01M39S,0-1000,Driving by traditional multi story buildings on a sunny day in Malabar,90.0,Driving by traditional multi story buildings,nature
42,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H126M2S,0-1000,Driving by a sculpture and parking in Malabar,90.0,Driving a tree lined neigbourhood in harsh light,nature
43,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H01M51S,0-1000,Driving narrow residental inner city neigbourhood in a German city,90.0,Driving narrow residental inner city neigbourhood,nature
45,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M48S,0-1000,Heavy traffic on Calfornian highway,90.0,Driving in heavy traffic on calfornian highway,nature
46,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M48S,0-1000,Driving faster on Californian highway on overcast day,90.0,Driving faster on Californian highway,nature
47,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M48S,0-1000,Driving at night on highway in Califonia,90.0,Driving night on highway in Califonia,nature
48,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M48S,0-1000,Driving at night on a California highway with flashing lights,90.0,Driving at night on a California highway with flashing lights,nature
49,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M48S,0-1000,Stopping at a crossing in California,90.0,Stopping at a crossing in California,nature
50,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M48S,0-1000,Driving off from a stop at a crossing in California,90.0,Driving off from a stop at a crossing,nature
51,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M9S,0-1000,Shoppers walk down a back alley in Tokyo,90.0,Shoppers walk down a back alley,nature
52,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M9S,0-1000,Shoppers walk down a back alley in Tokyo,90.0,Shoppers walk down a back alley,nature
53,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M9S,0-1000,Passants crossing in front of shops in Tokyo,90.0,Passants crossing in front of shops,nature
54,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M9S,0-1000,back alley with biker in Tokyo,90.0,back alley with biker cyling by,nature
55,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M9S,0-1000,Walking by food stalls in Tokyo,90.0,Walking by food stalls in Tokyo,nature
56,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M9S,0-1000,Driving through a cbd street with parking cars in Tokyo,90.0,Driving through a cbd street with parking cars,nature
57,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M9S,0-1000,Passants walking in a backlane in Tokyo,90.0,Passants crossing in front of shops,nature
58,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M9S,0-1000,People walk around a backland with outdoor shops in Tokyo,90.0,People walk around a backland with outdoor shops,nature
60,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M9S,0-1000,Truck driving off in backlane in Tokyo,90.0,Truck driving off in backlane,nature
61,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M48S,0-1000,Stopping at a traffic light on a crossing overcast day in California,90.0,Stopping at a traffic light on a crossing overcast day,nature
62,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M48S,0-1000,Dense high way traffic in California,90.0,Moving in dense high way traffic in,nature
63,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M48S,0-1000,Driving down a tree line road in California,90.0,Driving down a tree line road,nature
64,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M48S,0-1000,Dense traffic on a tree lined road at dawn in California,90.0,Dense traffic on a tree lined road at dawn,nature
65,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M48S,0-1000,Approaching a city on a Californian highway on a sunny day,90.0,Approaching a city on a Californian highway,nature
66,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M48S,0-1000,Stopping at a traffic light on a crossing overcast day in California,90.0,Stopping at a traffic light on a crossing overcast day,nature
67,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M9S,0-1000,driving around cbd in Tokyo on a sunny day,90.0,driving around cbd in Tokyo on a sunny day,nature
68,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M9S,0-1000,biker crosses a train crossing in Tokyo,90.0,biker crosses a train crossing in Toky,nature
69,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M9S,0-1000,Driving down a street with neon signs in Tokyo,90.0,Driving down a street with neon signs in Tokyo,nature
70,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M9S,0-1000,Going down a street with restaurants and signs in Tokyo,90.0,Going down a street with restaurants and signs,nature
71,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M9S,0-1000,Driving down a narrow road with hotels and signs in Tokyo,90.0,Driving down a narrow road with hotels and signs in Tokyo,nature
72,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H00M48S,0-1000,Driving on highway by some houses in sunny California,90.0,Driving on highway by some houses,nature
